title,date,month,year,day,Incident,Type,Location,Weather,Other Agencies,Diagnosis,Incident_Type,Incident_Cause,url,main_text,rescue_info,start_time,end_time,hrs,staff,location,total_hrs,Tagged
"Rough Crag, Scafell Pike ï¿½ï¿½ï¿½ Tue 23rd Ju",23-Jul-24,7,2024,3,94 in 2024,Full Callout ï¿½ï¿½ï¿½ Cr,"Rough Crag, Scafell Pike","['Cloudy Summits', 'Dry']","['Cumbria Police', 'Rescue 936 from Caernarfon']",,Full Callout,Cragfast,https://www.wmrt.org.uk/incidents/rough-crag-scafell-pike-tue-23rd-jul-2024/,"Another call from Cumbria Police yesterday. A walker had become cragfast in steep consequential ground on Rough Crag. He had wisely called for help. A full callout was quickly made, and due to the length of time it would take team members to arrive on scene, air support was requested from a Coastguard helicopter. Team members continued to make their way up the fell, however Rescue 936 was able to access the walker and winch to safety in the helicopter. He was then transported to the Wasdale valley at Brackenclose to be met by other team members. Many thanks to the crew of Rescue 936, saving team members a long night on the fell, and as it turned out, keeping legs relatively fresh for the last callout of the day just before midnightï¿½ï¿½ï¿½ 

", Incident started at 17:59 and ended at 22:43 making 4.7 hrs in total. There were 20 Wasdale team members involved and the incident occured at NY219069. Total rescuer hours: 94,17:59,22:43,4.7,20,NY219069,94,['Cragfast']
Hardknott Pass ï¿½ï¿½ï¿½ Tue 23rd Ju,23-Jul-24,7,2024,3,93 in 2024,Alert ï¿½ï¿½ï¿½,Hardknott Pass,"['Cloudy Summits', 'Dry']",['Cumbria Police'],,Alert,Other,https://www.wmrt.org.uk/incidents/hardknott-pass-tue-23rd-jul-2024/,"Another call yesterday from Cumbria Police for a vehicle in trouble on Hardknott Pass. A car had partially left the road and was not stable. A Team Leader happened to be close by and attended direct to coordinate any response with the police and fire service. However, on arrival, the occupants had managed to leave the vehicle unhurt and so the requirement was for a vehicle recovery only. As such, the team stood down. ", Incident started at 15:31 and ended at 17:49 making 2.3 hrs in total. There were 3 Wasdale team members involved and the incident occured at NY219013. Total rescuer hours: 7,15:31,17:49,2.3,3,NY219013,7,
Hardknott Pass ï¿½ï¿½ï¿½ Sat 20th Ju,20-Jul-24,7,2024,7,92 in 2024,Alert ï¿½ï¿½ï¿½,Hardknott Pass,"['Cloudy Summits', 'Dry']","['Cumbria Police', 'Duddon & Furness MRT', 'North West Ambulance Service']",,Alert,Other,https://www.wmrt.org.uk/incidents/hardknott-pass-sat-20th-jul-2024/,"The fourth and last call of the day was received from Northwest Ambulance Service. They had a report of a vehicle hanging over an embankment with a significant drop, with a location of Hardknott Pass. When an exact location was obtained from a separate police call, it was confirmed that this was in Duddon And Furness MRTï¿½ï¿½ï¿½s area and so a quick handover call was made. However, the very welcome news was received almost immediately afterwards to say that all persons were safe and well and the teams stood ", Incident started at 23:07 and ended at 23:32 making 0.4 hrs in total. There were 2 Wasdale team members involved and the incident occured at NY237015. Total rescuer hours: 0.8,23:07,23:32,0.4,2,NY237015,0.8,
"Mickledore, Scafell Pike ï¿½ï¿½ï¿½ Sat 20th Ju",20-Jul-24,7,2024,7,91 in 2024,Alert ï¿½ï¿½ï¿,"Mickledore, Scafell Pike","['Cool', 'Rain']",['Cumbria Police'],,Alert,Lost,https://www.wmrt.org.uk/incidents/mickledore-scafell-pike-sat-20th-jul-2024/,"A third call of the afternoon was taken from Cumbria Police, this time regarding two walkers who were lost in the mist at Mickledore, attempting to descend to Wasdale Head. The Team Leader gave advice and directions over the phone, and this allowed the walkers to find a defined path. They later called back to confirm that no further assistance was needed and so this log was closed. ", Incident started at 16:23 and ended at 17:24 making 1 hrs in total. There was 1 Wasdale team member involved and the incident occured at NY 21029 06900. Total rescuer hours: 1,16:23,17:24,1,1,NY 21029 06900,1,['Lost']
Illgill Head ï¿½ï¿½ï¿½ Sat 20th Ju,20-Jul-24,7,2024,7,90 in 2024,Alert ï¿½ï¿½ï¿½ Injured & M,Illgill Head,"['Cool', 'Rain']",['Cumbria Police'],Leg Injury,Alert,Injured & Medical,https://www.wmrt.org.uk/incidents/illgill-head-sat-20th-jul-2024/,"The team was called by Cumbria Police for a second time in the afternoon about a walker reporting that his legs had seized up and was struggling to make any progress. His walking party was concerned for his safety in wet and cool conditions if he could not continue. The Team Leader gave encouragement and advised food and drink intake with additional clothing. With this, the walker was able to make slow progress down the hill and eventually made it safely down to the valley. ", Incident started at 15:15 and ended at 18:18 making 3.1 hrs in total. There was 1 Wasdale team member involved and the incident occured at NY165048. Total rescuer hours: 3.1,15:15,18:18,3.1,1,NY165048,3.1,
"Tongue Pots, Eskdale ï¿½ï¿½ï¿½ Sat 20th Ju",20-Jul-24,7,2024,7,89 in 2024,Full Callout ï¿½ï¿½ï¿½ Injured & M,"Tongue Pots, Eskdale","['Cool', 'Rain']","['Great North Air Ambulance', 'Helimed 58']",Shoulder Injury,Full Callout,Injured & Medical,https://www.wmrt.org.uk/incidents/tongue-pots-eskdale-sat-20th-jul-2024/,"The team was called by Cumbria Police about a swimmer at Tongue Pot pools who had jumped into the water and sustained a very painful dislocated shoulder injury. A full callout was made and once on scene an assessment was made and strong pain relief given. Due to the nature of the injury and the long carry, air support was requested from Helimed 58. They duly responded and the helicopter was able to land close to the party, receive a handover, and then fly the casualty to hospital. Thanks to the Helimed crew for their assistance. We hope the casualty recovers swiftly from his injury. 


















 ", Incident started at 13:59 and ended at 18:45 making 4.8 hrs in total. There were 18 Wasdale team members involved and the incident occured at NY 22683 03467. Total rescuer hours: 86,13:59,18:45,4.8,18,NY 22683 03467,86,['Swimmer']
Scafell Pike ï¿½ï¿½ï¿½ Wed 17th Ju,17-Jul-24,7,2024,4,88 in 2024,Alert ï¿½ï¿½ï¿½ Injured & M,Scafell Pike,"['Clear', 'Dry']","['Keswick MRT', 'North West Ambulance Service']",Knee Injury,Alert,Injured & Medical,https://www.wmrt.org.uk/incidents/scafell-pike-wed-17th-jul-2024/,"The team was called by Northwest Ambulance Service about a walker who had sustained a knee injury. Mobile communications were difficult initially due to poor signal, but when a conversation was possible it was confirmed that the location was in Keswick MRTï¿½ï¿½ï¿½s area and the team was stood ", Incident started at 19:20 and ended at 19:51 making 0.5 hrs in total. There were 2 Wasdale team members involved. Total rescuer hours: 1,19:20,19:51,0.5,2,,1,
Wastwater Screes ï¿½ï¿½ï¿½ Wed 17th Ju,17-Jul-24,7,2024,4,87 in 2024,Full Callout ï¿½ï¿½ï¿½ Injured & M,Wastwater Screes,"['Dry', 'Sunny', 'Warm']",['Cumbria Police'],Ankle Injury,Full Callout,Injured & Medical,https://www.wmrt.org.uk/incidents/wastwater-screes-wed-17th-jul-2024/,"The team was called by Cumbria Police about a walker who had slipped, sustaining a very painful injury to her ankle. Phone Find located her and her walking partner on the Screes path. A full callout was made and access was quickest from the Brackenclose side, also avoiding the tricky boulder fields. Once on scene, the walker was assessed, given pain relief and the ankle splinted. A short stretcher carry was made to the lakeshore and a transfer made to the awaiting team boat. The walkers and team members were then transported to the opposite side of the lake. Transport to hospital for further assessment and treatment was made using the walkersï¿½ï¿½ï¿½ own vehicle. We wish the walker well in her recovery from her injury. 
















", Incident started at 10:18 and ended at 14:14 making 3.9 hrs in total. There were 17 Wasdale team members involved and the incident occured at NY165058. Total rescuer hours: 66,10:18,14:14,3.9,17,NY165058,66,"['Boat', 'Screes']"
Eskdale ï¿½ï¿½ï¿½ Sun 14th Ju,14-Jul-24,7,2024,1,86 in 2024,Alert ï¿½ï¿½ï¿½,Eskdale,"['Cloudy Summits', 'Dry']",['Cumbria Police'],,Alert,Other,https://www.wmrt.org.uk/incidents/eskdale-sun-14th-jul-2024/,"The team was called by Cumbria Police about support for a potential search for a missing person. However shortly after the alert, they confirmed that they had found the person and that the team was not required. ", Incident started at 22:03 and ended at 23:19 making 1.3 hrs in total. There was 1 Wasdale team member involved and the incident occured at NY217080. Total rescuer hours: 1.3,22:03,23:19,1.3,1,NY217080,1.3,['Missing Person']
"Corridor Route, Scafell Pike ï¿½ï¿½ï¿½ Sun 14th Ju",14-Jul-24,7,2024,1,85 in 2024,Alert ï¿½ï¿½ï¿,"Corridor Route, Scafell Pike","['Cool', 'Drizzle', 'Mist']",['Cumbria Police'],,Alert,Lost,https://www.wmrt.org.uk/incidents/corridor-route-scafell-pike-sun-14th-jul-2024/,"A call was received from Cumbria Police in the early hours about a party of five walkers who had lost their way on the descent from Scafell Pike to Seathwaite. They had inadequate lighting for a nighttime walk in drizzly conditions. However as there were no injuries, in relatively good spirits and would likely be able to see their way in daylight, the Team Leader decided not to initiate a callout, as it would take team members several hours to reach their location, and it would be nearing dawn by that point. As such, the plan was agreed with the group and they hunkered down. When dawn broke they were indeed able to make their own way off the fell with some additional guidance from the Team Leader. The log was closed when it was confirmed that they were safely back at their accommodation. ", Incident started at 00:38 and ended at 09:13 making 8.6 hrs in total. There was 1 Wasdale team member involved and the incident occured at NY217080. Total rescuer hours: 9,0:38,9:13,8.6,1,NY217080,9,['Lost']
"Straighthead Gill, Burnmoor Tarn ï¿½ï¿½ï¿½ Sat 13th Ju",13-Jul-24,7,2024,7,84 in 2024,Full Callout ï¿½ï¿½ï¿½ Injured & M,"Straighthead Gill, Burnmoor Tarn","['Cloudy Summits', 'Cool', 'Dry']","['Cumbria Police', 'Helimed 08', 'North West Air Ambulance']",Leg Injury,Full Callout,Injured & Medical,https://www.wmrt.org.uk/incidents/straighthead-gill-burnmoor-tarn-sat-13th-jul-2024/,"A call was received from Cumbria Police about a cyclist who had fallen off her cycle with a reported broken leg. A team member was already close by and so was quickly tasked to assess the situation whilst a full team callout was made in parallel. The first team member confirmed a very painful leg injury with a high pain score and gave simple analgesia quickly. As the rest of the team arrived Helimed 08 from Blackpool mobilised and landed close to the scene. After further strong pain relief the cyclist was packaged into the stretcher and transferred to the helicopter for the flight to hospital for further assessment and treatment. Thanks to the Helimed crew and we wish the cyclist a quick recovery from her injury. 















 ", Incident started at 13:16 and ended at 18:20 making 5.1 hrs in total. There were 17 Wasdale team members involved and the incident occured at NY 182060. Total rescuer hours: 87,13:16,18:20,5.1,17,NY 182060,87,['Cyclist']
Scafell Pike ï¿½ï¿½ï¿½ Fri 12th Ju,12-Jul-24,7,2024,6,83 in 2024,Alert ï¿½ï¿½ï¿½ Injured & M,Scafell Pike,"['Clear', 'Dry']",['Cumbria Police'],,Alert,Injured & Medical,https://www.wmrt.org.uk/incidents/scafell-pike-fri-12th-jul-2024/,"A call was received from Cumbria Police about a walker who had taken a fall and suffered several injuries. However, he was mobile and was making his own descent accompanied by other walkers. His walking partner was also struggling and walking slowly behind him, with his location initially unknown. The Team Leader was able to make contact with both walkers, and it was agreed that the team would remain on standby in case the situation worsened as they continued their respective descents. Both walkers were eventually able to make their own descent to Wasdale Head, and the team was stood down. Our thanks to the passing walkers who helped. The Team Leader kept the log open until it was confirmed that both walkers were safely back at their accommodation. ", Incident started at 19:17 and ended at 00:29 making 5.2 hrs in total. There was 1 Wasdale team member involved and the incident occured at NY 198074. Total rescuer hours: 5,19:17,0:29,5.2,1,NY 198074,5,
"Piers Gill, Scafell Pike ï¿½ï¿½ï¿½ Thu 4th Ju",4-Jul-24,7,2024,5,82 in 2024,Alert ï¿½ï¿½ï¿,"Piers Gill, Scafell Pike","['Cold', 'Mist', 'Rain', 'Windy']",['Cumbria Police'],,Alert,Lost,https://www.wmrt.org.uk/incidents/piers-gill-scafell-pike-thu-4th-jul-2024/,"A call was received from Cumbria Police about a walking party of four. They had lost their route, having separated from two more experienced walkers, and were cold and wet. They described their location as being at the side of a cliff. The Team Leader was able to make contact to their mobile phone and also get an accurate location via a Phonefind. They were at the head of Piers Gill. With care, the Team Leader was able to redirect the group back to Lingmell Col, from where they joined the main path and completed their descent without incident. ", Incident started at 14:54 and ended at 16:20 making 1.4 hrs in total. There was 1 Wasdale team member involved and the incident occured at NY 214079. Total rescuer hours: 1.4,14:54,16:20,1.4,1,NY 214079,1.4,"['Lost', 'Piers Gill']"
Scafell Pike ï¿½ï¿½ï¿½ Wed 3rd Ju,3-Jul-24,7,2024,4,81 in 2024,Alert ï¿½ï¿½ï¿½ O,Scafell Pike,"['Cloudy Summits', 'Dry']",['Cumbria Police'],,Alert,Overdue,https://www.wmrt.org.uk/incidents/scafell-pike-wed-3rd-jul-2024/,"A brief alert when a call was received from Cumbria Police about a party of 3 walkers. They had been wild camping on Scafell Pike the night before but had not made contact since. A family member was concerned for their safety and had made the call. As the Team Leader was gathering further information, the good news came in that the group had simply had no mobile signal on their onward walk to Elterwater. Once signal had returned they had phoned home and let the family member know that they were safe and well. A good outcome. ", Incident started at 13:33 and ended at 13:59 making 0.4 hrs in total. There was 1 Wasdale team member involved and the incident occured at NY 21690 07308. Total rescuer hours: 0.4,13:33,13:59,0.4,1,NY 21690 07308,0.4,['Overdue']
Wasdale Head ï¿½ï¿½ï¿½ Wed 26th Ju,26-Jun-24,6,2024,4,80 in 2024,Alert ï¿½ï¿½ï¿½ O,Wasdale Head,"['Dry', 'Sunny', 'Warm']",['Cumbria Police'],,Alert,Overdue,https://www.wmrt.org.uk/incidents/wasdale-head-wed-26th-jun-2024/,A brief alert after a call from Cumbria Police regarding two overdue walkers. Police officers made further enquiries at Wasdale Head and were quickly able to ascertain that the walkers were safe and well and did not require mountain rescue assistance. , Incident started at 12:16 and ended at 12:44 making 0.5 hrs in total. There were 2 Wasdale team members involved and the incident occured at NY 18768 08247. Total rescuer hours: 1,12:16,12:44,0.5,2,NY 18768 08247,1,['Overdue']
"Green How, Scafell ï¿½ï¿½ï¿½ Tue 25th Ju",25-Jun-24,6,2024,3,79 in 2024,Full Callout ï¿½ï¿½ï¿½ Injured & M,"Green How, Scafell","['Dry', 'Warm']",['Cumbria Police'],Medical,Full Callout,Injured & Medical,https://www.wmrt.org.uk/incidents/green-how-scafell-tue-25th-jun-2024/,"A call was received by Cumbria Police on Tuesday afternoon about a lone walker who had run out of water, become dehydrated and felt very weak. He was unable to continue the descent from Scafell. An urgent callout was initiated with a possibility of serious heat illness. The walker was located after a successful Phonefind and given water and some sugary food. This had a very positive effect and after some further time resting the walker was able to slowly complete the descent under his own steam. Further monitoring and medical advice from the team doctor was passed on in the valley before the team was stood down. We hope the walker recovered well and enjoyed the rest of his holiday. 






 ", Incident started at 17:12 and ended at 20:24 making 3.2 hrs in total. There were 17 Wasdale team members involved and the incident occured at NY190070. Total rescuer hours: 54,17:12,20:24,3.2,17,NY190070,54,
"Hollowstones, Scafell Pike ï¿½ï¿½ï¿½ Sun 23rd Ju",23-Jun-24,6,2024,1,78 in 2024,Full Callout ï¿½ï¿½ï¿½ Injured & M,"Hollowstones, Scafell Pike","['Dry', 'Sunny', 'Warm']",['Cumbria Police'],Ankle Injury,Full Callout,Injured & Medical,https://www.wmrt.org.uk/incidents/hollowstones-scafell-pike-sun-23rd-jun-2024/,"A call was received from Cumbria Police about a walker who had taken a fall, injuring an ankle and preventing further movement. A full team callout was swiftly made and team members made their way to the scene in very pleasant conditions. After an assessment and splinting of the ankle she was transferred to the stretcher for the carry down to Brackenclose and then onwards transport to hospital for further assessment and treatment. We wish the walker a quick recovery. 





















 ", Incident started at 15:57 and ended at 21:45 making 5.8 hrs in total. There were 15 Wasdale team members involved and the incident occured at NY 207075. Total rescuer hours: 87,15:57,21:45,5.8,15,NY 207075,87,
Scafell Pike ï¿½ï¿½ï¿½ Sat 22nd Ju,22-Jun-24,6,2024,7,77 in 2024,Full Callout ï¿½ï¿½ï¿½ O,Scafell Pike,,['Cumbria Police'],,Full Callout,Overdue,https://www.wmrt.org.uk/incidents/scafell-pike-sat-22nd-jun-2024/,"A call was taken from Cumbria Police about an overdue inexperienced walker from a walk up Scafell Pike. She had separated from the rest of her walking group and was not there either on their return to the valley floor. After gathering information, the Team Leader made a full callout for a search. However, shortly afterwards the good news was received that the walker had returned. She had taken a fall but was walked off the fell by other walkers. Thanks to them for helping another walker in trouble. ", Incident started at 21:55 and ended at 23:32 making 1.6 hrs in total. There were 11 Wasdale team members involved and the incident occured at NY 20983 07587. Total rescuer hours: 18,21:55,23:32,1.6,11,NY 20983 07587,18,['Overdue']
Wastwater Screes ï¿½ï¿½ï¿½ Sat 22nd Ju,22-Jun-24,6,2024,7,76 in 2024,Full Callout ï¿½ï¿½ï¿½,Wastwater Screes,"['Dry', 'Sunny', 'Warm']",['Cumbria Police'],,Full Callout,Other,https://www.wmrt.org.uk/incidents/sat-22nd-jun-2024/,"A call was taken from Cumbria Police about two uninjured walkers on the Screes whose dog was refusing to walk further. The team was called out with the intention of deploying the boat, however news was received relatively quickly that members of the public had helped out and were transferring the party across the lake to the roadside. Once this was confirmed the log was closed and the team stood down. Our thanks go to those who assisted. 






 ", Incident started at 15:26 and ended at 16:38 making 1.2 hrs in total. There were 15 Wasdale team members involved and the incident occured at NY 154047. Total rescuer hours: 18,15:26,16:38,1.2,15,NY 154047,18,"['Dog Rescue', 'Screes']"
Scafell Pike ï¿½ï¿½ï¿½ Fri 21st Ju,21-Jun-24,6,2024,6,75 in 2024,Full Callout ï¿½ï¿½ï¿½ Injured & M,Scafell Pike,"['Cold', 'Mist', 'Rain', 'Windy']",['Cumbria Police'],Leg Injury,Full Callout,Injured & Medical,https://www.wmrt.org.uk/incidents/scafell-pike-fri-21st-jun-2024/,"A call was received from Cumbria Police about a walker who had taken ill with additional severe cramping in his legs. He was with another walker but only very slow progress was being made from the Scafell Pike summit in poor conditions. A full team callout was made in case a stretcher carry was required. However as the first team member was making the ascent, the walker was found much lower than expected. He was being helped down by a passing three peak walking party. Once he was moving again he was able to make it back to Brackenclose with assistance. This saved a potentially long night for team members, for which we are very grateful. The team then stood down and returned to base. ", Incident started at 21:43 and ended at 00:38 making 2.9 hrs in total. There were 14 Wasdale team members involved and the incident occured at NY 20862 07671. Total rescuer hours: 41,21:43,0:38,2.9,14,NY 20862 07671,41,
"Brown Tongue, Scafell Pike ï¿½ï¿½ï¿½ Wed 19th Ju",19-Jun-24,6,2024,4,74 in 2024,Full Callout ï¿½ï¿½ï¿½ Injured & M,"Brown Tongue, Scafell Pike","['Dry', 'Sunny']",['Cumbria Police'],Ankle Injury,Full Callout,Injured & Medical,https://www.wmrt.org.uk/incidents/brown-tongue-scafell-pike-wed-19th-jun-2024/,"The team was called by Cumbria Police regarding a walker who had repeatedly stumbled over on his ankle and sustained an injury which prevented him from continuing. A full callout was made and team members assessed the injury. The walker attempted to continue with additional support from the team but after a while he was transferred to the stretcher to complete the descent to the valley floor. We wish him well in his recovery. 












  ", Incident started at 14:13 and ended at 18:15 making 4 hrs in total. There were 17 Wasdale team members involved and the incident occured at NY 19835 07340. Total rescuer hours: 68,14:13,18:15,4,17,NY 19835 07340,68,
Scafell Pike ï¿½ï¿½ï¿½ Sun 16th Ju,16-Jun-24,6,2024,1,73 in 2024,Alert ï¿½ï¿½ï¿½ O,Scafell Pike,"['Clear', 'Dry']",,,Alert,Overdue,https://www.wmrt.org.uk/incidents/scafell-pike-sun-16th-jun-2024/,A very short alert for an overdue party of four from a walk up Scafell Pike. As the Team Leader was gathering information the good news was received the walkers had arrived at their intended location at Seathwaite and all were safe and well. , Incident started at 19:27 and ended at 19:40 making 0.2 hrs in total. There was 1 Wasdale team member involved and the incident occured at NY 21538 07221. Total rescuer hours: 0.2,19:27,19:40,0.2,1,NY 21538 07221,0.2,['Overdue']
Wasdale Head ï¿½ï¿½ï¿½ Sat 15th Ju,15-Jun-24,6,2024,7,72 in 2024,Alert ï¿½ï¿½ï¿½ Injured & M,Wasdale Head,"['Cloudy Summits', 'Rain']",,Unspecified,Alert,Injured & Medical,https://www.wmrt.org.uk/incidents/wasdale-head-sat-15th-jun-2024/,"Whilst dealing with callout No.71, a report was received by team members at Brackenclose about an injured male walker, who was requiring medical assistance. The report was that he was in a car park. A team vehicle diverted to search both car parks at Wasdale Head but nothing was found. The log remained open in case of further developments and was closed several hours later as the ongoing incident was concluded. ", Incident started at 17:41 and ended at 20:46 making 3.1 hrs in total. There were 6 Wasdale team members involved and the incident occured at NY 20089 07424. Total rescuer hours: 19,17:41,20:46,3.1,6,NY 20089 07424,19,
"Brown Tongue, Scafell Pike ï¿½ï¿½ï¿½ Sat 15th Ju",15-Jun-24,6,2024,7,71 in 2024,Full Callout ï¿½ï¿½ï¿½ Injured & M,"Brown Tongue, Scafell Pike","['Cloudy Summits', 'Cold', 'Rain']",['Cumbria Police'],Ankle Injury,Full Callout,Injured & Medical,https://www.wmrt.org.uk/incidents/brown-tongue-scafell-pike-sat-15th-jun-2024/,"The team was called yesterday by Cumbria Police about a walker who had slipped and heard a crack in her ankle. It was very painful and prevented any further progress. A swift callout was made and once on scene team members assessed the injury. A well equipped trainee Mountain Leader in the party had already insulated, sheltered and given simple pain relief. Further pain relief was administered whilst the ankle was splinted. The walker was then transferred to a casualty bag and stretcher for the carry back to the valley floor. Once safely down at Brackenclose she was moved to their own vehicle for the journey to hospital and further treatment. We wish the walker a speedy recovery and hope to see her back on the fells soon. 















 ", Incident started at 16:21 and ended at 21:15 making 4.9 hrs in total. There were 19 Wasdale team members involved and the incident occured at NY 20089 07243. Total rescuer hours: 93,16:21,21:15,4.9,19,NY 20089 07243,93,
"Little Narrowcove, Scafell Pike ï¿½ï¿½ï¿½ Mon 10th Ju",10-Jun-24,6,2024,2,70 in 2024,Full Callout ï¿½ï¿½ï¿½ Cr,"Little Narrowcove, Scafell Pike","['Cloudy Summits', 'Cold']","['Cumbria Police', 'Duddon & Furness MRT', 'Rescue 199 from Prestwick']",,Full Callout,Cragfast,https://www.wmrt.org.uk/incidents/little-narrowcove-scafell-pike-mon-10th-jun-2024/,"The team was called by Cumbria Police regarding two walkers who had mis-navigated off Scafell Pike in misty conditions and were stuck. The location from the police call put them on steep ground close to Little Narrowcove. Contact with the party directly was difficult with a poor mobile signal. A full callout was made, with extra assistance given by Duddon and Furness MRT. Once on scene after the long walk-in, the two walkers were found on steep ground requiring rope rescue. They were not able to move unassisted due to being very cold. As such additional support from a coastguard helicopter was requested for a swift evacuation. A rope system was rigged and both casualties were lowered with assistance to safe ground. Rescue 199 then evacuated the walkers and all team members back to the vehicles. Fortunately following rewarming the walkers did not need further medical assistance. All the teams then stood down after a long night and returned to their respective bases to restock vehicles. Many thanks to Duddon and Furness MRT and Rescue 199 for their help once again. 


















 ", Incident started at 21:37 and ended at 05:27 making 7.8 hrs in total. There were 10 Wasdale team members involved and the incident occured at NY 22415 07430. Total rescuer hours: 78,21:37,5:27,7.8,10,NY 22415 07430,78,['Cragfast']
Scafell Pike ï¿½ï¿½ï¿½ Sun 9th Ju,9-Jun-24,6,2024,1,69 in 2024,Full Callout ï¿½ï¿½ï¿½,Scafell Pike,"['Mist', 'Rain', 'Windy']",['Cumbria Police'],,Full Callout,Other,https://www.wmrt.org.uk/incidents/scafell-pike-sun-9th-jun-2024/,"




The team was called by Cumbria Police about two walkers who were descending from Scafell Pike. One of the walkers was very tired and they were concerned that they may not make it back to their vehicle before darkness fell.


The mobile phone signal was marginal so limited information was obtained, and then they could not be re-contacted. On an assumption that they would need help, with cold conditions still at high elevations, a callout was made. However, after about 30 minutes a mobile phone call was possible and the party confirmed that they were making reasonable progress and did not need any assistance. This allowed an early stand down. Later, the walkers contacted Cumbria Police when they were safely off the fell and the log was closed.


https://www.adventuresmart.uk/


#BeAdventureSmart and make a good day better.


Ask yourself three questions before you set off:
1. Do I have the right GEAR ?
2. Do I know what the WEATHER will be like?
3. Am I confident that I have the KNOWLEDGE & SKILLS for the day?




 The team was called by Cumbria Police about two walkers who were descending from Scafell Pike. One of the walkers was very tired and they were concerned that they may not make it back to their vehicle before darkness fell. The mobile phone signal was marginal so limited information was obtained, and then they could not be re-contacted. On an assumption that they would need help, with cold conditions still at high elevations, a callout was made. However, after about 30 minutes a mobile phone call was possible and the party confirmed that they were making reasonable progress and did not need any assistance. This allowed an early stand down. Later, the walkers contacted Cumbria Police when they were safely off the fell and the log was closed. ", Incident started at 19:06 and ended at 22:25 making 3.3 hrs in total. There were 9 Wasdale team members involved and the incident occured at NY 05684 04294. Total rescuer hours: 30,19:06,22:25,3.3,9,NY 05684 04294,30,
Scafell Pike ï¿½ï¿½ï¿½ Sun 2nd Ju,2-Jun-24,6,2024,1,67 in 2024,Full Callout ï¿½ï¿½ï¿,Scafell Pike,"['Cold', 'Mist', 'Rain']",['Cumbria Police'],,Full Callout,Lost,https://www.wmrt.org.uk/incidents/scafell-pike-sun-2nd-jun-2024/,"The team was called by Cumbria Police about a party of four walkers who were lost on Scafell Pike. The message was received via the iPhone satellite emergency centre. The Team Leader was unable to talk directly with the party and it seemed that the party of four was now moving on a path out of Upper Eskdale. A decision was made to task some team members to walk on the main routes into Upper Eskdale and meet the party with warm clothing and food. Some different news then arrived; three of the party of four were safely at the Wasdale Head Inn, having separated from the remaining person. Team members in Eskdale had not made a find as they had expected to, and continued to search with an increased sense of urgency. Some time later, a Phonefind text finally connected and surprisingly located the missing walker above Hollow Stones in Wasdale. He had managed to find the path and was able to walk off to Brackenclose. Another team vehicle was dispatched there to confirm the walker was safe and well. All team members from both valleys then returned to base to dry off kit and restock the vehicles. It appears that the walker managed to self correct his initial navigational error but with no direct communication or true understanding of his location he was unable to communicate relevant information to the Team Leader. 






 ", Incident started at 16:31 and ended at 22:13 making 5.7 hrs in total. There were 13 Wasdale team members involved and the incident occured at NY 22196 05976. Total rescuer hours: 74,16:31,22:13,5.7,13,NY 22196 05976,74,['Lost']
Harter Fell ï¿½ï¿½ï¿½ Sun 2nd Ju,2-Jun-24,6,2024,1,68 in 2024,Alert ï¿½ï¿½ï¿½ Injured & M,Harter Fell,"['Cool', 'Dry']",['Cumbria Police'],Unspecified,Alert,Injured & Medical,https://www.wmrt.org.uk/incidents/harter-fell-sun-2nd-jun-2024/,"The Team Leader was alerted by Cumbria Police about a walker who was struggling to make any progress whilst descending Harter Fell. One of the party had descended to retrieve a blanket and to call for assistance. However as the Team Leader was starting to make plans, a further call was received to say that the walker was moving slowly and that she probably wouldnï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½t need team assistance. When it was confirmed later that the walker and the rest of the party had made it safely back to their vehicle the team ", Incident started at 17:44 and ended at 19:45 making 2 hrs in total. There were 2 Wasdale team members involved and the incident occured at NY 20855 00560. Total rescuer hours: 4,17:44,19:45,2,2,NY 20855 00560,4,
Buttermere ï¿½ï¿½ï¿½ Sun 2nd Ju,2-Jun-24,6,2024,1,66 in 2024,Alert ï¿½ï¿½ï¿½,Buttermere,"['Sunny', 'Warm']","['Cockermouth MRT', 'Keswick MRT']",,Alert,Other,https://www.wmrt.org.uk/incidents/buttermere-sun-2nd-jun-2024/,"The team was due to do some joint training in Ennerdale with members of Cockermouth MRT. As the team arrived Cockermouth MRT had just been called out to a missing paraglider near Buttermere. The training was therefore cancelled, and Wasdale MRT along with members of Keswick MRT went to assist.ï¿½ï¿½ï¿½ï¿½Tragically the paraglider was found near Buttermere village but did not survive the l", Incident started at 09:00 and ended at 13:00 making 4 hrs in total. There were 7 Wasdale team members involved and the incident occured at NY 19589 16303. Total rescuer hours: 28,9:00,13:00,4,7,NY 19589 16303,28,
