,title,date,Incident,Type,Location,Weather,Tagged,Incident_Type,Incident_Cause,url,main_text,rescue_info,start_time,end_time,hrs,staff,location,total_hrs,Other Agencies,Diagnosis,year,month,year_month
250,St Bees Head – Wed 29th May 2024,2024-05-29,63 in 2024,Full Callout — Other,St Bees Head,"['Cool', 'Dry']",['Missing Person'],Full Callout,Other,https://www.wmrt.org.uk/incidents/wed-29th-may-2024/,"We were called by Cumbria Police late on Wednesday to supplement their search for a missing person. The Team Leader initiated a full callout. However, as team members were assembling at the RV point to be given a search area, the news was received that the missing person had been located and so team members stood down and returned home. 






  ", Incident started at 23:02 and ended at 01:01 making 2 hrs in total. There were 15 Wasdale team members involved and the incident occured at NX 96206 11748. Total rescuer hours: 30,23:02,01:01,2.0,15,,30.0,['Cumbria Police'],,2024,5,2024-05-01
251,"Lingmell Col, Scafell Pike – Wed 29th May 2024",2024-05-29,62 in 2024,Full Callout — Injured & Medical,"Lingmell Col, Scafell Pike","['Cool', 'Mist', 'Rain']",,Full Callout,Injured & Medical,https://www.wmrt.org.uk/incidents/lingmell-col-scafell-pike-wed-29th-may-2024/,"We were called yesterday by Cumbria Police about a walker who had slipped, injuring her wrist when breaking her fall. Passing walkers, one with previous first aid experience had stopped to help the walker and family party. The location was between Lingmell Col and Piers Gill. With communications limited initially, the Team Leader initiated a full callout and asked an advance party to travel direct with shelter and warm clothing in case the walker was not able to mobilise at all. However, as the walker was able to gingerly walk with assistance, contact was made on the fell at Hollow Stones. After some pain relief and splinting of the wrist, the walkerâ€™s stoicism helped her back down to the valley under her own steam, with only limited assistance from team members. The family party then made their own way to hospital for further assessment and treatment. Huge thanks to the two walkers who stopped to help and ended up in the wrong valley as a result (we hope your planned onward journey went smoothly). We also wish the walker a speedy recovery and hope to see her back on the fell soon. (As the normal team photographers were clearly not on the fell yesterday we have no callout shots. So photos instead of the additional team members in the valley standing by in case the callout escalated, who were re-tasked briefly on shepherding dutiesâ€¦) 









 ", Incident started at 13:25 and ended at 17:42 making 4.3 hrs in total. There were 13 Wasdale team members involved and the incident occured at NY212078. Total rescuer hours: 56,13:25,17:42,4.3,13,NY212078,56.0,['Cumbria Police'],Wrist Injury,2024,5,2024-05-01
252,"Scafell Pike Summit, Scafell Pike – Tue 28th May 2024",2024-05-28,61 in 2024,Alert — Injured & Medical,"Scafell Pike Summit, Scafell Pike","['Mist', 'Rain']",,Alert,Injured & Medical,https://www.wmrt.org.uk/incidents/scafell-pike-summit-scafell-pike-tue-28th-may-2024/,"We were alerted by Cumbria Police about a walker who was potentially unable to continue walking due to pain in her hip. Fortunately the family party was well equipped and so a slow pace or halt was manageable without serious consequences. The location was the summit of Scafell Pike. After a discussion with the Team Leader, it was agreed the walker would continue to walk slowly downhill, thus staying warm and also reducing the potential length of the stretcher carry for team members. Misty conditions ruled out any chance of air support. Duddon and Furness MRT were asked to be on standby for extra support for a possible long stretcher carry. The walker and party continued to make slow but steady progress, and eventually was able to complete the walk to the valley without team assistance on the hill. The Team Leader closed the log when the party were in their vehicle safely and en route to their accommodation. Thanks to the walker for the self-rescue and we wish her well in her recovery. ", Incident started at 18:28 and ended at 00:24 making 5.9 hrs in total. There were 3 Wasdale team members involved and the incident occured at NY216072. Total rescuer hours: 18,18:28,00:24,5.9,3,NY216072,18.0,"['Cumbria Police', 'Duddon & Furness MRT']",Hip Injury,2024,5,2024-05-01
253,Whitehaven – Mon 27th May 2024,2024-05-27,60 in 2024,Full Callout — Injured & Medical,Whitehaven,"['Dry', 'Sunny']",['Ambulance Assist'],Full Callout,Injured & Medical,https://www.wmrt.org.uk/incidents/whitehaven-mon-27th-may-2024/,North West Ambulance Service requested assistance from the team to evacuate a walker from woodland who had slipped and injured their ankle. A callout was made with local team members going direct to the location. A very short stretcher carry of about 100m was made to the awaiting ambulance after which the team stood down. We wish the walker a quick recovery. , Incident started at 17:31 and ended at 19:29 making 2 hrs in total. There were 13 Wasdale team members involved and the incident occured at NX974188. Total rescuer hours: 26,17:31,19:29,2.0,13,,26.0,['North West Ambulance Service'],Ankle Injury,2024,5,2024-05-01
254,Keswick – Thu 23rd May 2024,2024-05-23,59 in 2024,Limited Callout — Other,Keswick,"['Cool', 'Rain']",['Missing Person'],Limited Callout,Other,https://www.wmrt.org.uk/incidents/keswick-thu-23rd-may-2024/,"The team were asked to support Keswick MRT yesterday in a significant search operation for a missing person. Seven Wasdale members attended and searched their allocated areas. 
An excellent outcome, well done to search dog Bramble on her first find! Thanks to Keswick MRT for their hospitality and hot food back at base.















 
  ", Incident started at 06:30 and ended at 13:40 making 7.2 hrs in total. There were 7 Wasdale team members involved and the incident occured at NY 27205 23536. Total rescuer hours: 50,06:30,13:40,7.2,7,NY 27205 23536,50.0,"['Keswick MRT', 'Lake District Mountain Rescue Search Dogs']",,2024,5,2024-05-01
255,Egremont – Mon 20th May 2024,2024-05-20,58 in 2024,Full Callout — Injured & Medical,Egremont,"['Cloudy Summits', 'Dry']",,Full Callout,Injured & Medical,https://www.wmrt.org.uk/incidents/egremont-mon-20th-may-2024/,"As team members were travelling to Monday evening training, an alert was received from North West Ambulance Service about a walker who had slipped down a river bank and injured her ankle. The location was not accessible to the ambulance crew so an assist was needed. Team members were quickly on scene and the walker was assessed and given pain relief before splinting the ankle. A short stretcher carry followed to the ambulance before handover and continuing on to base to training. We wish the walker a quick recovery. 






 ", Incident started at 18:03 and ended at 21:05 making 3 hrs in total. There were 24 Wasdale team members involved and the incident occured at NY014113. Total rescuer hours: 72,18:03,21:05,3.0,24,NY014113,72.0,['North West Ambulance Service'],Ankle Injury,2024,5,2024-05-01
256,"Skew Gill, Great End – Mon 20th May 2024",2024-05-20,57 in 2024,Alert — Injured & Medical,"Skew Gill, Great End","['Cloudy Summits', 'Dry']",,Alert,Injured & Medical,https://www.wmrt.org.uk/incidents/skew-gill-great-end-mon-20th-may-2024/,"A call was received from Cumbria Police about a walker who had taken a tumble on steep ground and badly injured her leg. The informant was close to Sty Head, which is close to the boundary between Keswick and Wasdale teams, with exact location unknown initially. Due to a number of factors, there was a discussion between the Keswick and Wasdale MR Team Leaders and the alert was passed across. Keswick MRT subsequently dealt with the incident with support from both Helimed 58 and Coastguard Rescue 199 (KMRT incident 54). ", Incident started at 16:27 and ended at 16:51 making 0.4 hrs in total. There was 1 Wasdale team member involved and the incident occured at NY218095. Total rescuer hours: 0.4,16:27,16:51,0.4,1,NY218095,0.4,"['Cumbria Police', 'Keswick MRT']",Leg Injury,2024,5,2024-05-01
257,"Beck Head, Great Gable – Sun 19th May 2024",2024-05-19,56 in 2024,Full Callout — Injured & Medical,"Beck Head, Great Gable","['Dry', 'Sunny']",,Full Callout,Injured & Medical,https://www.wmrt.org.uk/incidents/beck-head-great-gable-sun-19th-may-2024/,"Another call on Sunday, this time from Cumbria Police. A walker had fallen, injuring both her legs and was unable to walk any further. The location is on the border of the area between Cockermouth MRT and Wasdale MRT. As Cockermouth team were still in the area, a joint approach was taken once again. Even so, numbers were a little low for another awkward location and so help from a Coastguard helicopter was again requested. Rescue 199 duly obliged and was able to access and evacuate the walker to hospital for further treatment. We wish the walker a speedy recovery. Again thanks to the helicopter crew and Cockermouth MRT for the help. 









 ", Incident started at 17:47 and ended at 21:31 making 3.7 hrs in total. There were 15 Wasdale team members involved and the incident occured at NY207105. Total rescuer hours: 56,17:47,21:31,3.7,15,NY207105,56.0,"['Cockermouth MRT', 'Cumbria Police', 'Rescue 199 from Prestwick']",Leg Injury,2024,5,2024-05-01
258,"Napes, Great Gable – Sun 19th May 2024",2024-05-19,55 in 2024,Full Callout — Injured & Medical,"Napes, Great Gable","['Dry', 'Sunny']",,Full Callout,Injured & Medical,https://www.wmrt.org.uk/incidents/napes-great-gable-sun-19th-may-2024/,"A call was received from North West Ambulance Service about a walker who had taken a tumble after a rock fell and landed on his arm. A full callout was made. With the prospect of a very difficult stretcher evacuation, additional support was obtained from Duddon and Furness MRT and also Cockermouth MRT, who happened to be in the area training in Piers Gill. Air support was also requested, and Coastguard helicopter Rescue 199 was tasked. As all MR teams were mobilising, the good news was received that the walker had been able to be assessed and winched from the scene by the helicopter crew, thus saving time and significant energy from the three teams. We wish the walker a swift recovery from his injuries. Thanks to all teams for their support. 












 ", Incident started at 14:26 and ended at 18:33 making 4.1 hrs in total. There were 10 Wasdale team members involved and the incident occured at NY208101. Total rescuer hours: 41,14:26,18:33,4.1,10,NY208101,41.0,"['Cockermouth MRT', 'Duddon & Furness MRT', 'North West Ambulance Service', 'Rescue 199 from Prestwick']",Arm Injury,2024,5,2024-05-01
259,Scafell Pike – Sat 18th May 2024,2024-05-18,54 in 2024,Alert — Overdue,Scafell Pike,"['Clear', 'Dry']",['Overdue'],Alert,Overdue,https://www.wmrt.org.uk/incidents/scafell-pike-sat-18th-may-2024/,"A late call was received from Cumbria Police about an overdue walker from Scafell Pike. A family member was concerned when the walker could not be contacted. Due to the intended route from Borrowdale, Keswick MRT were also alerted. Searches of car parks in both valleys resulted in the walker’s car being found in Borrowdale by the Police. The contents appeared to show that the walker had returned from their walk and possibly staying in a local campsite. As such the Team Leaders stood down for the night. The next morning it was confirmed that the walker was safe and well and so the log was closed. ", Incident started at 22:36 and ended at 12:27 making 13.9 hrs in total. There were 3 Wasdale team members involved and the incident occured at NY 05684 04294. Total rescuer hours: 42,22:36,12:27,13.9,3,NY 05684 04294,42.0,"['Cumbria Police', 'Keswick MRT']",,2024,5,2024-05-01
260,"Styhead Path, Great Gable – Sat 18th May 2024",2024-05-18,53 in 2024,Full Callout — Lost,"Styhead Path, Great Gable","['Dry', 'Sunny']",['Lost'],Full Callout,Lost,https://www.wmrt.org.uk/incidents/styhead-path-great-gable-sat-18th-may-2024/,"As incident No.53 was concluding, a further call was received from Cumbria Police about two walkers who were requesting help as they were lost and felt they could not make their way back to Borrowdale without assistance. They were on the old Sty head path headed for Wasdale Head. However, after a while they cancelled their request for help, seemingly having re-located themselves and moving back towards Sty Head. ", Incident started at 19:56 and ended at 20:54 making 1 hrs in total. There were 11 Wasdale team members involved and the incident occured at NY217090. Total rescuer hours: 11,19:56,20:54,1.0,11,NY217090,11.0,['Cumbria Police'],,2024,5,2024-05-01
261,"Corridor Route, Scafell Pike – Sat 18th May 2024",2024-05-18,52 in 2024,Full Callout — Injured & Medical,"Corridor Route, Scafell Pike","['Dry', 'Sunny', 'Warm']",,Full Callout,Injured & Medical,https://www.wmrt.org.uk/incidents/corridor-route-scafell-pike-sat-18th-may-2024/,"A call was received from Cumbria Police about a walker who had injured her ankle just past the head of Piers Gill on the Corridor Route. It was known that Teesdale and Weardale MRT were training in the area so they were contacted to see if they could help. This was the case and so they responded and were on scene within 15 minutes, providing assessment and initial treatment. Extra equipment was needed from the valley so a full callout was made for the team. Once on scene, the walker was packaged into the stretcher and a long carry was made with both teams working together. Once at Brackenclose, a handover was made to the waiting ambulance and the team returned to Wasdale base to devour a huge pizza order! Many thanks to Teesdale and Weardale MRT for their willingness to support. It was great to meet you all. We wish the walker well and hope she recovers quickly and is back on the fells soon. 





















 ", Incident started at 14:24 and ended at 21:12 making 6.8 hrs in total. There were 16 Wasdale team members involved and the incident occured at NY213078. Total rescuer hours: 109,14:24,21:12,6.8,16,NY213078,109.0,"['Cumbria Police', 'Teesdale and Weardale MRT']",Ankle Injury,2024,5,2024-05-01
262,"Scafell Pike Summit, Scafell Pike – Sat 11th May 2024",2024-05-11,51 in 2024,Alert — Injured & Medical,"Scafell Pike Summit, Scafell Pike","['Clear', 'Dry']",,Alert,Injured & Medical,https://www.wmrt.org.uk/incidents/scafell-pike-summit-scafell-pike-sat-11th-may-2024/,"A call was received from Cumbria Police from the partner of a lone walker. The walker had taken ill on the descent after summiting Scafell Pike to photograph the Aurora. The Team Leader made contact and it was agreed to monitor progress carefully via Phonefind location and further discussion. Thankfully the walkerâ€™s condition improved later in the descent and he was able to make his own way to the valley and then home without the team being called out. We wish him well. 









 ", Incident started at 02:39 and ended at 09:42 making 7.1 hrs in total. There was 1 Wasdale team member involved and the incident occured at NY215072. Total rescuer hours: 7,02:39,09:42,7.1,1,NY215072,7.0,['Cumbria Police'],Medical,2024,5,2024-05-01
263,Scafell Pike – Thu 9th May 2024,2024-05-09,50 in 2024,Full Callout — Overdue,Scafell Pike,"['Clear', 'Dry', 'Sunny']","['Drone', 'Search']",Full Callout,Overdue,https://www.wmrt.org.uk/incidents/scafell-pike-thu-9th-may-2024/,"A call was received very early on Thursday morning about a lone male walker who had not made contact after a walk from Seathwaite towards Scafell Pike. He was reported overdue. The Team Leader gathered further information through the night and called out the Wasdale team along with Keswick MRT, Duddon and Furness MRT and Langdale Ambleside MRT for early morning searches. After these were deployed, a second phase of searches was then planned with requests for resources from all other Lake District teams. Search dogs, drones and Coastguard helicopter Rescue 199 were also tasked in specific areas. Despite this, at the end of Thursday, the walker was not found, and plans were made for a similar effort with more detailed searches on Friday. Tragically, a find was made later that morning. Sadly he had not survived. Our sincere condolences go to the walker’s family and friends. Our thoughts are with you all. Thanks to all that supported this significant multi agency team effort. We are very grateful for the help. 






 ", Incident started at 00:28 and ended at 16:17 making 15.8 hrs in total. There were 31 Wasdale team members involved and the incident occured at NY 22212 09049. Total rescuer hours: 490,00:28,16:17,15.8,31,NY 22212 09049,490.0,"['Cockermouth MRT', 'Coniston MRT', 'Duddon & Furness MRT', 'Kendal MRT', 'Keswick MRT', 'Kirkby Stephen MRT', 'Lake District Mountain Rescue Search Dogs', 'Lake District Search & Mountain Rescue Association', 'Langdale Ambleside MRT', 'Mountain Rescue Search Dogs England', 'Patterdale MRT', 'Penrith MRT', 'RAF Leeming MRT', 'Rescue 199 from Prestwick', 'SARDA Southern Scotland']",,2024,5,2024-05-01
264,"Mickledore, Scafell Pike – Mon 6th May 2024",2024-05-06,49 in 2024,Full Callout — Lost,"Mickledore, Scafell Pike","['Clear', 'Dry']",['Lost'],Full Callout,Lost,https://www.wmrt.org.uk/incidents/mickledore-scafell-pike-mon-6th-may-2024/,"A call was received from Cumbria Police about a lone inexperienced walker who was reporting himself both lost and with a twisted ankle. He was at a stretcher box, and the call coordinates confirmed Mickledore as the location. Unfortunately the team leader was unable to gather further information information via mobile phone contact so a full team callout was made. Some members were tasked to access via Eskdale as it was believed his car was at Hardknott Pass. However as the first team members were arriving at their access points, a further call confirmed better news. The walker had met up with another group of walkers, and were successfully helping him off the fell to Wasdale. As good progress was being made and no further assistance was requested, all team members were stood down and returned to base and home. ", Incident started at 18:03 and ended at 19:19 making 1.3 hrs in total. There were 21 Wasdale team members involved and the incident occured at NY210069. Total rescuer hours: 27,18:03,19:19,1.3,21,NY210069,27.0,['Cumbria Police'],Ankle Injury,2024,5,2024-05-01
265,Great Gable – Sun 5th May 2024,2024-05-05,48 in 2024,Alert — Other,Great Gable,"['Clear', 'Dry']",['False Alarm'],Alert,Other,https://www.wmrt.org.uk/incidents/great-gable-sun-5th-may-2024/,"A call was received from Cumbria Police via Cockermouth MRT who were originally assigned the call. A group of walkers could see lights that appeared to them to be flashing on the climbers traverse path on Great Gable and they were concerned that they were trying to summon help. A team member in the valley was tasked to observe further. After watching for a while progress from the group was steady, their lights did not appears to be flashing and they were in direct sight of Wasdale Head. A false alarm with good intent. ", Incident started at 23:07 and ended at 01:11 making 2.1 hrs in total. There were 3 Wasdale team members involved. Total rescuer hours: 6,23:07,01:11,2.1,3,,6.0,"['Cockermouth MRT', 'Cumbria Police']",,2024,5,2024-05-01
266,"Brown Tongue, Scafell Pike – Sat 4th May 2024",2024-05-04,47 in 2024,Full Callout — Injured & Medical,"Brown Tongue, Scafell Pike","['Drizzle', 'Mist']",,Full Callout,Injured & Medical,https://www.wmrt.org.uk/incidents/brown-tongue-scafell-pike-sat-4th-may-2024/,"A call was received from North West Ambulance Service about a walker who had slipped and injured her ankle. She was unable to bear any weight. A full callout was swiftly made. An advance team member arrived on scene and made a medical assessment. Pain relief was given on arrival of the rest of the team members and the ankle splinted before the stretcher carry to Brackenclose. A handover was then given to the awaiting ambulance team. The team then stood down before returning to base to reset the vehicles. We wish the walker well and hope to see her back on the fells soon. 












  ", Incident started at 14:29 and ended at 19:25 making 4.9 hrs in total. There were 15 Wasdale team members involved and the incident occured at NY200073. Total rescuer hours: 74,14:29,19:25,4.9,15,NY200073,74.0,['North West Ambulance Service'],Ankle Injury,2024,5,2024-05-01
267,"Greathall Gill, Wasdale – Wed 1st May 2024",2024-05-01,46 in 2024,Limited Callout — Injured & Medical,"Greathall Gill, Wasdale","['Dry', 'Sunny']",,Limited Callout,Injured & Medical,https://www.wmrt.org.uk/incidents/greathall-gill-wasdale-wed-1st-may-2024/,"A call was received from Cumbria Police about a lone walker who was having a medical episode and was very distressed. She was unable to move further from her current position. A limited callout was made and when team members arrived on scene an assessment was made. The walker had recovered somewhat and was able to walk with some assistance and reassurance to the valley floor. We wish the walker well. 






 ", Incident started at 10:52 and ended at 13:44 making 2.9 hrs in total. There were 7 Wasdale team members involved and the incident occured at NY144032. Total rescuer hours: 20,10:52,13:44,2.9,7,NY144032,20.0,['Cumbria Police'],Medical,2024,5,2024-05-01
268,Hardknott Pass – Tue 30th Apr 2024,2024-04-30,45 in 2024,Alert — Overdue,Hardknott Pass,"['Clear', 'Dry']","['Mountain Biker', 'Overdue']",Alert,Overdue,https://www.wmrt.org.uk/incidents/hardknott-pass-tue-30th-apr-2024/,A brief alert received via Coniston MRT who had been asked to search for overdue mountain bikers. They were last seen at the bottom of Hardknott Pass at about 6:30pm the evening before. After discussion with other team leaders it was agreed that deployment was not required due to the benign weather or likely to be effective through the night. , Incident started at 02:00 and ended at 02:30 making 0.5 hrs in total. There was 1 Wasdale team member involved. Total rescuer hours: 0.5,02:00,02:30,0.5,1,,0.5,['Coniston MRT'],,2024,4,2024-04-01
269,Wastwater Screes – Sat 27th Apr 2024,2024-04-27,44 in 2024,Full Callout — Cragfast,Wast Water Screes,"['Dry', 'Sunny']","['Boat', 'Cragfast', 'Screes']",Full Callout,Cragfast,https://www.wmrt.org.uk/incidents/sat-27th-apr-2024/,"A call was received from Cumbria Police about a party of four walkers (in two separate groups) attempting to walk around Wast Water. However, one of the walkers was struggling to negotiate the boulder field and felt they could not continue in either direction. A full callout was made and a shore party and boat team were tasked to help. On arrival, one group of two had reversed their route to easier ground back to Wasdale Head, and the others were transferred by boat to the pump house at the western end of the lake to complete their walk. 


















 ", Incident started at 14:33 and ended at 18:53 making 4.3 hrs in total. There were 14 Wasdale team members involved and the incident occured at NY154047. Total rescuer hours: 60,14:33,18:53,4.3,14,NY154047,60.0,['Cumbria Police'],,2024,4,2024-04-01
270,Scafell Pike – Thu 25th Apr 2024,2024-04-25,43 in 2024,Alert — Overdue,Scafell Pike,"['Clear', 'Cold', 'Dry']",['Overdue'],Alert,Overdue,https://www.wmrt.org.uk/incidents/scafell-pike-thu-25th-apr-2024/,"A call was received from Cumbria Police about a walker overdue from a walk up Scafell Pike. Two walkers had become separated and one had not returned to their car. However, very limited information was available due to lack of phone battery from the informant. Also the overdue walker was believed to have no battery remaining on their phone. With little information to go from the Team Leader asked a team member to check car parks in Wasdale, however nothing was found. The police were then able to obtain coordinates from the original call, with a location at Three Shire Stone on Wrynose Pass. With this information the callout was transferred to Langdale Ambleside MRT. This was resolved with a good outcome later in the night. ", Incident started at 20:46 and ended at 22:10 making 1.4 hrs in total. There were 3 Wasdale team members involved. Total rescuer hours: 4.2,20:46,22:10,1.4,3,,4.2,"['Cumbria Police', 'Langdale Ambleside MRT']",,2024,4,2024-04-01
271,"Scafell Pike Summit, Scafell Pike – Tue 23rd Apr 2024",2024-04-23,42 in 2024,Full Callout — Injured & Medical,"Scafell Pike Summit, Scafell Pike","['Dry', 'Sunny']",,Full Callout,Injured & Medical,https://www.wmrt.org.uk/incidents/scafell-pike-summit-scafell-pike-tue-23rd-apr-2024/,"Another call was received yesterday from Cumbria Police about a second walker, whilst callout 41 was in progress a short distance away. He had also tripped and fallen, this time close to Scafell Pike summit. Again facial injuries were reported, this time initially with drowsiness. As the teams were already responding for the first callout, they were diverted also to this call, with additional numbers requested from work and home. Helicopter support initially looked unlikely, then Helimed 08 from Blackpool and Coastguard Rescue 936 from Caernarfon both lifted to support. Helimed 08 was first on scene and was able to assess, treat and the transfer the casualty into the helicopter. Fortunately the injuries were not assessed to be too serious and the walker was flown to the valley and then helped to his accommodation at the Wasdale Head Inn for further recuperation and care from the staff. Team members returned to the valley and stood down. We wish the gentleman a speedy recovery. Thanks to both helicopter crews for their help, the transfer down from Helimed 08 saving a long stretcher carry for the teams. 






  ", Incident started at 13:22 and ended at 16:56 making 3.6 hrs in total. There were 18 Wasdale team members involved and the incident occured at NY215072. Total rescuer hours: 65,13:22,16:56,3.6,18,NY215072,65.0,"['Cumbria Police', 'Duddon & Furness MRT', 'Helimed 08', 'North West Air Ambulance', 'Rescue 936 from Caernarfon']",Head Injury,2024,4,2024-04-01
272,Broad Crag – Tue 23rd Apr 2024,2024-04-23,41 in 2024,Full Callout — Injured & Medical,Broad Crag,"['Dry', 'Sunny']",,Full Callout,Injured & Medical,https://www.wmrt.org.uk/incidents/broad-crag-tue-23rd-apr-2024/,"A call was received from Cumbria Police about a walker who had fallen awkwardly in the boulder field near Broad Crag summit. He had suffered painful facial injuries. A full callout was made and extra support for a long and difficult stretcher carry was requested and received from Duddon and Furness MRT. However, Coastguard helicopter Rescue 199 also responded from Prestwick and was able to land and assess the walker. He was able to walk to the aircraft, thus allowing a swift transfer to hospital for further assessment and treatment. The advance team then met up with the casualtyâ€™s wife and walked down to Brackenclose. Thanks to Duddon and Furness MRT and also to the crew of Rescue 199 for their help to avoid a difficult and hazardous stretcher carry for the teams. We wish the walker a speedy recovery. 






 ", Incident started at 11:50 and ended at 16:58 making 5.1 hrs in total. There were 11 Wasdale team members involved and the incident occured at NY218075. Total rescuer hours: 56,11:50,16:58,5.1,11,NY218075,56.0,"['Cumbria Police', 'Duddon & Furness MRT', 'Rescue 199 from Prestwick']",Head Injury,2024,4,2024-04-01
273,Great Gable – Fri 19th Apr 2024,2024-04-19,40 in 2024,Alert — Cragfast,Great Gable,"['Dry', 'Sunny']",['Cragfast'],Alert,Cragfast,https://www.wmrt.org.uk/incidents/great-gable-fri-19th-apr-2024/,"An alert was received from Cumbria Police about two walkers who were stuck on steep ground after previously ascending Great Gable. However on further investigation of the exact location via a successful Phone find it was established that they were on Base Brown. As this is well into Keswick MRTâ€™s area, the alert was handed across to them and they subsequently brought things to a successful conclusion. ", Incident started at 17:21 and ended at 17:39 making 0.3 hrs in total. There was 1 Wasdale team member involved and the incident occured at NY229117. Total rescuer hours: 0.3,17:21,17:39,0.3,1,NY229117,0.3,"['Cumbria Police', 'Keswick MRT']",,2024,4,2024-04-01
274,Lingmell Nose – Wed 17th Apr 2024,2024-04-17,39 in 2024,Full Callout — Injured & Medical,Lingmell Nose,"['Dry', 'Sunny']",,Full Callout,Injured & Medical,https://www.wmrt.org.uk/incidents/lingmell-nose-wed-17th-apr-2024/,"A call was received on Wednesday afternoon about a walker who was suffering from a medical issue, close to Wasdale Head on the descent from Scafell Pike. A very quick response was possible as there was a vehicle with team members already in the valley, with others responding to the full callout. Once on scene a medical assessment was made, before packaging into a stretcher. The short journey was made to the road where a handover to a land ambulance was completed, and the team returned to base. We hope the walker recovers well, and hope to see him back on the fells soon. 












 ", Incident started at 16:24 and ended at 19:31 making 3.1 hrs in total. There were 18 Wasdale team members involved and the incident occured at NY189077. Total rescuer hours: 56,16:24,19:31,3.1,18,NY189077,56.0,,Medical,2024,4,2024-04-01
275,Wasdale Head – Sun 14th Apr 2024,2024-04-14,38 in 2024,Full Callout — Injured & Medical,Wasdale Head,"['Cloudy Summits', 'Dry']",,Full Callout,Injured & Medical,https://www.wmrt.org.uk/incidents/wasdale-head-sun-14th-apr-2024/,"Another call was received on Sunday afternoon from NWAS. A member of a family group going for a short walk had slipped on wet grass and injured her ankle. She was in significant pain and unable to weight bear. With no mobile signal, members of the group had raised the alarm at the Wasdale Head Inn, fortunately only five minutes away. A full callout was made and team members were quickly on scene. After a full medical assessment, strong pain relief was given before splinting the ankle to reduce the pain. A short and straightforward stretcher journey followed before handover to a land ambulance at the road head. The team then returned to base to reset the vehicles. We hope the walker recovers quickly from her injury and wish her well. 









 ", Incident started at 14:08 and ended at 17:39 making 3.5 hrs in total. There were 18 Wasdale team members involved and the incident occured at NY185092. Total rescuer hours: 63,14:08,17:39,3.5,18,NY185092,63.0,['North West Ambulance Service'],Ankle Injury,2024,4,2024-04-01
276,"Brown Tongue, Scafell Pike – Sun 14th Apr 2024",2024-04-14,37 in 2024,Full Callout — Injured & Medical,"Brown Tongue, Scafell Pike","['Clear', 'Dry']",,Full Callout,Injured & Medical,https://www.wmrt.org.uk/incidents/brown-tongue-scafell-pike-sun-14th-apr-2024/,"The team was called on Sunday morning for a walker who had slipped on the descent from Scafell Pike, injuring his ankle. He was unable to bear any weight. A full callout followed, and once on scene a medical assessment was made before some pain relief and splinting of the ankle. After transfer to the stretcher the walker was transferred down to Brackenclose, where a handover was made to a land ambulance for subsequent transport to hospital. We wish the walker a swift recovery, and hope to see him back on the fell soon. 


















 ", Incident started at 07:22 and ended at 11:17 making 3.9 hrs in total. There were 19 Wasdale team members involved and the incident occured at NY193073. Total rescuer hours: 74,07:22,11:17,3.9,19,NY193073,74.0,,Ankle Injury,2024,4,2024-04-01
277,Scafell Pike – Sat 13th Apr 2024,2024-04-13,36 in 2024,Limited Callout — Overdue,Scafell Pike,"['Cold', 'Mist', 'Rain']",['Overdue'],Limited Callout,Overdue,https://www.wmrt.org.uk/incidents/scafell-pike-sat-13th-apr-2024-2/,"Later a separate call was received from friends of the second group in a similar position but with two of their group overdue. It was established that there was now a party of three walkers who were believed to be together but now significantly overdue. After giving some time for the walkers to walk out in the morning a limited callout was made to search the most likely location in Upper Eskdale. However, before deployment on the fell, the walkers made contact and confirmed, despite a rough night in poor weather, they were safe and well and now on the correct path to Wasdale. 






 ", Incident started at 08:35 and ended at 11:18 making 2.7 hrs in total. There were 16 Wasdale team members involved and the incident occured at NY 18320 07396. Total rescuer hours: 43,08:35,11:18,2.7,16,NY 18320 07396,43.0,['North West Ambulance Service'],,2024,4,2024-04-01
278,Scafell Pike – Sat 13th Apr 2024,2024-04-13,35 in 2024,Limited Callout — Overdue,Scafell Pike,"['Cold', 'Mist', 'Rain']",['Overdue'],Limited Callout,Overdue,https://www.wmrt.org.uk/incidents/scafell-pike-sat-13th-apr-2024/,"In two inter-twined callouts we were tasked by NWAS to rescue overdue walkers from two groups. In the first callout a single walker was reported overdue. He had joined another two walkers from a different group on the descent. The rest of the group had returned successfully to Brackenclose. As communications were difficult, two team members travelled to Brackenclose to get a better understanding of the circumstances first hand. 






 ", Incident started at 04:23 and ended at 11:24 making 7 hrs in total. There were 16 Wasdale team members involved and the incident occured at NY 18360 07332. Total rescuer hours: 112,04:23,11:24,7.0,16,NY 18360 07332,112.0,"['Langdale Ambleside MRT', 'North West Ambulance Service']",,2024,4,2024-04-01
279,Sty Head – Thu 11th Apr 2024,2024-04-11,34 in 2024,Alert — Lost,Sty Head,"['Cold', 'Rain']",['Lost'],Alert,Lost,https://www.wmrt.org.uk/incidents/sty-head-thu-11th-apr-2024/,"In the second call of the evening, a party of 4 walkers required help at Sty Head stretcher box. One of the walkers had an ankle injury, and due to the very poor weather they had taken shelter inside. As the team was already tasked, Keswick MRT were asked to assist, who then also requested further support from Cockermouth MRT. Thanks to both teams for their help. ", Incident started at 20:23 and ended at 20:33 making 0.2 hrs in total. There were 2 Wasdale team members involved and the incident occured at NY218095. Total rescuer hours: 0.4,20:23,20:33,0.2,2,NY218095,0.4,"['Cockermouth MRT', 'Keswick MRT']",,2024,4,2024-04-01
